date,open,high,low,close,volume,quote_volume,taker_buy_quote_volume
2026-07-07 01:00:00,71.971,71.971,71.146,71.169,340806.86,24386227.66461,10806874.38183
2026-07-07 02:00:00,71.171,71.284,70.477,70.669,266051.04,18853911.49472,8254051.464
2026-07-07 03:00:00,70.667,70.752,70.1,70.214,277756.23,19539382.03292,8477563.40497
2026-07-07 04:00:00,70.213,70.264,69.706,70.206,319426.49,22360100.02305,10416181.65833
2026-07-07 05:00:00,70.207,70.453,69.48,70.192,388675.83,27168093.11484,13419387.87206
2026-07-07 06:00:00,70.192,70.996,70.035,70.905,300726.49,21217278.44822,11845025.41318
2026-07-07 07:00:00,70.904,71.3,70.533,70.581,260009.16,18446030.85381,7686092.82098
2026-07-07 08:00:00,70.581,71.084,70.514,71.039,254605.31,18030335.86653,8986577.39869
2026-07-07 09:00:00,71.039,71.618,70.888,71.309,290937.32,20765425.92551,10667286.55429
2026-07-07 10:00:00,71.31,71.877,71.265,71.407,335750.86,24043683.85051,10750718.27108
2026-07-07 11:00:00,71.407,71.963,71.158,71.951,273335.66,19550638.34265,10561073.56459
2026-07-07 12:00:00,71.951,72.558,71.836,72.051,562971.03,40639450.96583,22460680.41513
2026-07-07 13:00:00,72.051,72.145,71.108,71.26,659866.42,47283929.26764,22501527.70603
2026-07-07 14:00:00,71.259,72.392,70.82,72.346,679078.32,48507771.93473,24827349.76486
2026-07-07 15:00:00,72.345,72.985,71.917,71.982,738634.42,53491016.20014,28848900.61995
2026-07-07 16:00:00,71.982,72.319,71.573,71.658,417935.2,30068467.08384,17055802.34642
2026-07-07 17:00:00,71.657,72.055,71.4,71.638,317637.14,22766417.03053,13298204.44667
2026-07-07 18:00:00,71.64,71.868,70.127,70.216,533221.06,37780602.51137,14760003.81211
2026-07-07 19:00:00,70.212,70.419,69.336,70.154,739011.01,51697681.71652,25027787.65168
2026-07-07 20:00:00,70.155,70.365,69.882,70.173,195701.79,13717000.91295,7151974.38566
2026-07-07 21:00:00,70.173,70.482,68.92,69.32,413602.2,28755045.03436,13140091.61265
2026-07-07 22:00:00,69.318,69.779,68.903,69.715,278135.11,19288082.05498,11232202.4952
